-armig;-karú
demzugfolge;eszerint
demzugfolge;ennek következtében
den;ld. der
den Anfang machen;megkezd vmit
den Anfang machen;elkezd
den Anker lichten;felszedi a horgonyt
den Ansprüchen gerecht werden;megfelel az igényeknek
den Appetit wecken;meghozza az étvágyát
den Atem anhalten;visszafojtja a lélegzetét
den Auftakt zu etw. geben;megadja a jelt vmihez
den Auftakt zu etw. geben;bevezet vmit
den Beweis erbringen;bebizonyít
den bin ich los;megszabadultam ettől
den Blick senken;lesüti a szemét
den Fehler beseitigen;megszünteti a hibát
den ganzen Tag verlernen;az egész napot áttanulja
den Hörer nehmen;felveszi a kagylót
den Hunger stillen;csillapítja az éhségét
den Kopf hängen;rosszkedvű
den Kopf hängen;rosszkedvü
den Kopf hängen;levert
den Kopf hängen;lehorgasztja a fejét
den Kopf in den Stand stecken;struccpolitikát folytat
den Kopf senken;lehorgasztja a fejét
den Krieg erklären;hadat üzen
den Mantel nach dem Winde hängen;köpönyeget forgat
den Mumm haben zu etw.;van mersze vmihez
den Müll hinausbringen;kiviszi a szemetet
den Rausch ausschlafen;kialussza mámorát
den Schlucken haben;csuklik
den Tisch abräumen;leszedi az asztalt
den Vertrag abschließen über Alterversorgung;eltartási szerződést köt
den Vertrag auflösen;felbontja a szerződést
den Wein lesen;szüretel
den Zug verfehlen;lekési a vonatot
denen;ld. der
Denkart (e);gondolkodásmód
denken;képzel
denken;gondolkodik
denken;gondol
Denker (r);gondolkodó
Denkmal;műemlék
Denkmal;emlékmű
Denkmal (s);müemlék
Denkmal (s);emlékmü
Denkvermögen;gondolkodási készség
Denkvermögen;gondolkodási képesség
Denkvermögen (s);gondolkodási készség
Denkvermögen (s);gondolkodási képesség
denkwürdig;nevezetes
denkwürdig;emlékezetes
Denkzettel (r);intő (iskolai)
Denkzettel (r);emlékeztető
denn;tehát
denn;mivel
denn;mert
dennoch;mégis
Depesche (e);sürgöny
deponieren;letétbe helyez
deportieren;deportál
Depot;telep
Depot;raktár
Depot (s);telep
Depot (s);raktár
der;ld. die (G, D és Pl.G alakja)
der;ld. die (G
der;D és Pl.G alakja)
der Aal,-e;angolna
der Abbau,-e;leépítés
der Abdecker,-;sintér
der Abdruck,:e;lenyomat
der Abend,-e;este
der Abendkurs,-e;esti tanfolyam
der Abenteuerfilm,-e;kalandfilm
der Abenteurer,-;kalandor
der Aberglaube;babona
der Abfall,:e;hulladék
der Abfall,:e;esés
der Abfallbehälter,-;szeméttartó
der Abflug,:e;felszállás
der Abflug,:e;elrepülés
der Abfluß,:sse;lefolyó
der Abgang,:e;veszteség
der Abgang,:e;indulás
der Abgott,:er;bálvány
der Abgrund,:e;szakadék
der Abhang,:e;lejtő
der Abiturient,-en;érettségiző
der Abkömmling,-e;sarj
der Abkömmling,-e;ivadék
der Ablaß,:sse;engedmény
der Ablauf,:e;lefolyás
der Ablauf,:e;kimenetel
der Abmeldeschein,-e;kijelentőlap
der Abnehmer,-;vásárló
der Abprall,-e;visszaverődés
der Abprall,-e;visszapattanás
der Abriß,-sse;vázlat
der Abriß,-sse;körvonal
der Absatz (e);cipősarok
der Absatz,:e;megszakítás
der Absatz,:e;cipősarok
der Absatz,:e;bekezdés
der Abschaum;söpredék
der Abschaum;hab
der Abschied;búcsú
der Abschlag;elutasítás
der Abschlag;csökkentés
der Abschluß;befejezés
der Abschnitt;szelet
der Abschnitt;szakasz
der Abschnitt;fejezet
der Absender;feladó
der Abstand;távolság
der Abstecher;kerülő
der Abstellraum;tárolóhelyiség
der Abstellraum;raktár
der Abstieg;leszállás
der Abstieg;hanyatlás
der Abstinenzler;antialkoholista
der Abstoß;kapukirúgás
der Absturz;zuhanás
der Absturz;szakadék
der Absturz;bukás
der Abteilungsleiter;osztályvezető
der Abtritt;távozás
der Abtritt;lelépés
der Abweg;tévút
der Abweg;mellékút
der Abzug;levonás
der Abzug;lefolyás
der Abzug;elköltözés
der Achter;nyolcas
der Acker;szántóföld
der Ackerbau;földművelés
der Ackerbauer;földműves
der Ackerweg;dűlőút
der Adel;nemesség
der Adler;sas
der Admiral;admirális
der Adressant;feladó
der Adressat;címzett
der Advokat;ügyvéd
der Aeroplan;repülőgép
der Affe;majom
der Affekt;indulat
der Afrikaner;afrikai
der After;végbélnyílás
der Afterdarm;végbél
der Agent;ügynök
der Agitator;agitátor
der Agronom;agronómus
der Ahn;ősapa
der Ahorn;juhar
der Akt;felvonás
der Akt;cselekedet
der Akt;akt
der Aktionär;részvényes
der Aktivist;aktivista
der Aktsluß;felvonásvég
der Akzent;hangsúly
der Akzent;akcentus
der Alabaster;alabástrom
der Alarm;riadó
der Alaun;timsó
der Albaner;albán
der Algerier;algériai
der Alkohol;alkohol
der Alkoholeinfluß;ittas állapot
der Alkoholeinfluß;alkoholos állapot
der Alleinhandel;monopólium
der Alleinhandel;egyedárusítás
der Alleinvertreter;kizárólagos képviselő
der Allierte;szövetséges
der Alltag;hétköznap
der Alpinismus;alpinizmus
der Altar;oltár
der Altbau;régi épület
der Alte;öregember
der Amateur;amatőr
der Amboß;üllő
der Amerikaner;amerikai
der Ampfer;sóska
der Amtsarzt;tisztiorvos
der Amtssitz;hivatali székhely
der Anarchist;anarchista
der Anbau;vetés
der Anblick;látvány
der Anbruch;kezdet
der Andrang;tolongás
der Anfall;támadás
der Anfall;roham
der Anfang;kezdet
der Anfänger;kezdő
der Anflug;odarepülés
der Anflug;indulás (rep.)
der Angreifer;támadó
der Angriff;támadás
der Angriff;megfogás
der Angriff;hozzákezdés
der Anhalt;támasz
der Anhalter;stoppos
der Anhalter;stoppoló
der Anhalter;stop
der Anhaltspunkt;támpont
der Anhang;pótlás
der Anhang;függelék
der Anhänger;pótkocsi
der Anhänger;követő
der Ankauf;megvétel
der Anker;horgony
der Anklang;visszhang
der Anklang;csengetés
der Ankläger;vádló
der Ankömmling;jövevény
der Anlasser;önindító
der Anlaß;indok
der Anlaß;indíték
der Anlaß;alkalom
der Anlauf;nekifutás
der Anlauf;csődület
der Anmeldeschein;bejelentőlap
der Anreiner;ottlakó
der Anreiz;ösztönzés
der Anreiz;ingerlés
der Anreiz;csábítás
der Anruf;telefonhívás
der Anruf;felszólítás
der Anruf;felhívás
der Ansager;bemondó
der Ansatz;toldás
der Ansatz;toldalék
der Ansatz;összeg
der Ansatz;kezdet
der Ansatz;hajlam
der Anschein;látszat
der Anschlag;ütés
der Anschlag;merénylet
der Anschlag;költségvetés
der Anschlagzettel;plakát
der Anschlagzettel;falragasz
der Anschluß;társaság
der Anschluß;ismeretség
der Anschluß;csatolás
der Anschluß;csatlakozás
der Ansiedler;telepes
der Anspruch;követelés
der Anspruch;igény
der Anstand;illem
der Anstand;aggály
der Anstieg;emelkedő
der Anstoß;ütközés
der Anstoß;megbotránkozás
der Anstoß;lendület
der Anstrich;mázolás
der Anstrich;máz
der Ansturm;tolongás
der Ansturm;roham
der Anteil;részvét
der Anteil;osztályrész
der Anteil;érdeklődés
der Antiquar;régiségkereskedő
der Antiquar;antikvárius
der Antrag;kérelem
der Antrag;javaslat
der Antrag;indítvány
der Antrag;házassági ajánlat
der Antrag;ajánlat
der Antragsteller;kérelmező
der Antragsteller;indítványozó
der Antrieb;ösztönzés
der Antrieb;indítás
der Antrieb;hajtás
der Antritt;kezdet
der Antritt;belépés
der Anwalt;ügyvivő
der Anwalt;ügyvéd
der Anwalt;ügyész
der Anwalt;szószóló
der Anwalt;meghatalmazott
der Anwärter;várományos
der Anwärter;jelölt
der Anwuchs;szaporodás
der Anwuchs;növekedés
der Anzug;öltöny
der Anzug;közlekedés
der Anzug;első lépés (sakk)
der Apfel;alma
der Apfelkuchen;almás lepény
der Apfelmus;almapüré
der Apfelmus;almalekvár
der Apostel;apostol
der Apostroph;hiányjel
der Apotheker;gyógyszerész
der Apparat;szerkezet
der Apparat;műszer
der Apparat;készülék
der Apparat;berendezés
der Apparat;apparátus
der Appell;szózat
der Appell;sorakozó
der Appell;fellebbezés
der Appell;felhívás
der Appetit;étvágy
der Appetit vergehnt;elmegy az étvágya
der Applaus;taps
der April;április
der Araber;arab
der Arbeiter;munkás
der Arbeitgeber;munkaadó
der Arbeitnehmer;munkavállaló
der Arbeitskreis;munkaterület
der Arbeitskreis;munkakör
der Arbeitslohn;munkabér
der Arbeitsplatz;munkahely
der Arbeitsprozeß;munkafolyamat
der Arbeitstag;munkanap
der Architekt;építész
der Archivar;levéltáros
der Argebtinier;argentin
der Argwohn;gyanú
der Arm;kar
der Arm;ág (folyó)
der Armenier;örmény
der Armleuchter;karos gyertyatartó
der Armrelf;karperec
der Armstuhl;karosszék
der Arrest;fogság
der Arrest;bezárás
der Artikel;névelő
der Artikel;fejezet
der Artikel;cikk
der Artikel;árucikk
der Arzt;orvos
der Arzt;doktor
der Aschenbecher;hamutartó
der Asiat;ázsiai
der Aspekt;szemszög
der Aspekt;kilátás
der Aspekt;előjel
der Assistent;tanársegéd
der Assistent;munkatárs
der Assistent;asszisztens
der Assistent;adjunktus
der Ast;ág
der Astronaut;űrhajós
der Astronaut;asztronauta
der Astronom;csillagász
der Astronom;asztronómus
der Atem;lélegzet
der Atem;lehelet
der Atem;légzés
der Atemweg;légutak
der Atemzug;lélegzetvétel
der Athlet;atléta
der Atlantik;Atlanti-óceán
der Atlantische Ozean;az Atlanti-óceán
der Attentäter;merénylő
der Auerhahn;fajdkakas
der Aufbau;felépítés
der Aufbau;építmény
der Aufbruch;ugar
der Aufbruch;feltörés /felfakadás
der Aufbruch;elindulás
der Aufenthalt;tartózkodás
der Aufenthalt;időzés
der Aufflug;felrepülés
der Aufgang;feljárat
der Aufguß;főzet
der Aufguß;felöntés
der Auflauf;felfújt (étel)
der Auflauf;csődület
der Aufruf;felszólítás
der Aufruf;felkiáltás
der Aufruf;felhívás
der Aufruhr;zendülés
der Aufruhr;lázadás
der Aufrührer;lázító
der Aufsatz;toldat
der Aufsatz;tanulmány
der Aufsatz;fogalmazás
der Aufsatz;cikk
der Aufschlag;hajtóka
der Aufschlag;feltörés
der Aufschlag;felhajtás
der Aufschlag;felcsapódás
der Aufschlag;felár
der Aufschlag;becsapódás (lövedék)
der Aufschluß;felvilágosítás
der Aufschnitt;felvágott (étel)
der Aufschnitt;felvágás
der Aufschrei;felkiáltás
der Aufschub;halasztás
der Aufschwung;fellendülés
der Aufseher;felügyelő
der Aufstand;felkelés
der Aufstieg;felszállás
der Aufstieg;felemelkedés
der Auftrag;megrendelés
der Auftrag;megbízás
der Auftraggeber;megrendelő
der Auftraggeber;megbízó
der Auftritt;lépcsőfok
der Auftritt;jelenet
der Auftritt;fellépés
der Aufzug;menet
der Aufzug;felvonó
der Aufzug;felvonás
der Augapfel;szemgolyó
der Augenarzt;szemorvos
der Augenarzt;szemész
der Augenblick;pillanat
der Augenschein;megszemlélés
der Augenschein;látszat
der Augenzeuge;szemtanú
der August;augusztus
der Ausbau;kiépítés
der Ausblick;kilátás
der Ausbruch;kitörés
der Ausbruch;aszú (bor)
der Ausdruck;kifejezés
der Ausflucht;kifogás
der Ausflucht;kibúvó
der Ausflug;kirepülés
der Ausflug;kirándulás
der Ausfluß;következmény
der Ausfluß;kifolyás
der Ausflüger;kiránduló
der Ausgang;kimenő
der Ausgang;kijárat
der Ausgangspunkt;kiindulópont
der Ausgleich;kiegyenlítés
der Ausgleich;kiegyegyezés
der Ausguß;lefolyó
der Ausguß;kiöntés
der Aushang;hirdetmény
der Aushang;cégtábla
der Ausländer;külföldi
der Ausläufer;nyúlvány
der Ausläufer;kifutós
der Auspuff;kipufogó
der Auspuff;kipufogás
der Ausruf;kikiáltás
der Ausruf;kihirdetés
der Ausruf;felkiáltás
der Ausschank;italmérés
der Ausscheidungskampf;selejtező mérkőzés
der Ausschlag;kilengés
der Ausschlag;döntő tényező
der Ausschlag;bőrkiütés
der Ausschluß;kizárás
der Ausschnitt;szelet
der Ausschnitt;rész
der Ausschnitt;metszet
der Ausschnitt;kivágás
der Ausschuß;selejt
der Ausschuß;bizottság
der Ausspruch;kijelentés
der Ausstieg;kiszállás
der Austausch;csere
der Austrag;elintézés
der Australier;ausztrál
der Austritt;kilépés
der Ausverkauf;kiárusítás
der Ausweg;kiút
der Ausweis;igazolvány
der Ausweis;igazolás
der Auswuchs;kinövés
der Auswuchs;visszás helyzet
der Auswuchs;fonákság
der Auswurf;váladék
der Auswurf;söpredék
der Auswurf;köpet
der Auszug;kivonulás
der Auszug;kivonat
der Auszug;kiköltözés
der Außenbezirk;külső kerület
der Außenbordmotor;csónakmotor (külső)
der Außenhandel;külkereskedelem
der Außenminister;külügyminiszter
der Außenstürmer;szélső csatár
der Autobus;autóbusz
der Autofahrer;autóvezető
der Automat;automata
der Automechaniker;autószerelő
der Autor;szerző
der Bach;patak
der Backfisch;bakfis
der Backofen;sütő
der Backofen;kemence
der Backstein;tégla (égetett)
der Badegast;fürdővendég
der Bagger;kotrógép
der Bahnarbeiter;pályamunkás
der Bahnbeamte;vasúti alkalmazott
der Bahnbrecher;úttörő
der Bahnhof;pályaudvar
der Bahnsteig;peron
der Balg;irha
der Balg;bőr
der Balken;gerenda
der Balkon;erkély
der Ball;labda
der Ball;bál
der Ballen;köteg
der Ballen;csomag
der Baller;labdázó
der Ballettänzer;balett-táncos
der Band;kötet
der Band;kötés
der Bandit;bandita
der Bandreif;abroncs
der Bankier;bankár
der Bankrott;csőd
der Bankschein;bankutalvány
der Bankschein;bankjegy
der Bann;varázs
der Bann;kiközösítés
der Bann;átok
der Bannkreis;bűvkör
der Barbier;borbély
der Barertrag;tiszta haszon
der Baron;báró
der Barren;korlát
der Bart;szakáll
der Bast;háncs
der Bastard;korcs
der Bastard;fattyú
der Baß;basszus
der Bau;termelés
der Bau;szerkezet
der Bau;művelés
der Bau;épület
der Bau;építkezés
der Bau;alkat
der Bauch;has
der Bauer;paraszt
der Bauer;építő
der Baugrund;telek
der Bauklotz;építőkocka
der Baum;fa (élő)
der Baumstamm;fatörzs
der Baumstumpf;fatönk
der Bausch;göngyöleg
der Bausch;dudorodás
der Bausch;csomó
der Bauxit;bauxit
der Bäcker;pék
der Bäckerladen;pékbolt
der Bär;medve
der Becher;serleg
der Becher;pohár
der Bedacht;megfontolás
der Bedacht;körültekintés
der Bedarf;szükséglet
der Bedarf;szükség
der Bedarf;igény
der Befehl;parancs
der Befehlshaber;parancsnok (kat)
der Befund;látlelet
der Beginn;kezdet
der Beginn;kezdés
der Begleiter;kísérő
der Begriff;fogalom
der Begriff;felfogás
der Behälter;tartó
der Behälter;tartály
der Behelf;segédlet
der Beifahrer;oldalkocsi utasa
der Beifahrer;kocsikísérő
der Beifahrersitz;vezető melletti ülés
der Beifall;tetszés
der Beifall;taps
der Beifall;helyeslés
der Beigeschmack;mellékíz
der Beirat;tanácsadó
der Beisatz;pótlék
der Beisatz;köret
der Beisatz;értelmező (nyelvt)
der Beistand;segítség
der Beistrich;vessző (írásjel)
der Beißzahn;metszőfog
der Beitrag;tagdíj
der Beitrag;járulék
der Beitrag;hozzájárulás
der Beitrag;adalék
der Beitritt;csatlakozás
der Beitritt;belépés
der Beiwagen;pótkocsi
der Beiwagen;oldalkocsi
der Belang;érdekeltség
der Belang;érdek
der Beleg;bizonylat
der Belgier;belga
der Benediktier;bencés
der Bengel;kölyök
der Bereitschaftsdienst;orvosi ügyelet
der Berg;hegy
der Bergarbeiter;bányász
der Bergbau;bányászat
der Bergführer;hegyi vezető
der Berggipfel;hegycsúcs
der Bergmann;bányász
der Bergschuch;túracipő
der Bergsee;tengerszem
der Bergsee;hegyi tó
der Bergsteiger;túracipő
der Bergsteiger;hegymászó
der Bergzug;hegyvonulat
der Bericht;tudósítás
der Bericht;jelentés
der Bericht;beszámoló
der Berichterstatter;tudósító
der Berichtsteller;jelentéstevő
der Bernstein;borostyánkő
der Beruf;pálya
der Beruf;hivatás
der Beruf;foglalkozás
der Berufsunfall;üzemi baleset
der Besatz;szegély
der Bescheid;végzés
der Bescheid;válasz
der Bescheid;határozat
der Bescheid;értesítés
der Beschlag;veret
der Beschlag;patkolás
der Beschluß;végzés
der Beschluß;határozat
der Besen;seprű
der Besitz;birtoklás
der Besitz;birtok
der Besitzer;birtokos
der Bestand;készlet
der Bestand;fennállás
der Bestand;állomány
der Bestand;állandóság
der Bestandteil;alkatrész
der Besteller;megrendelő
der Bestimmungsort;rendeltetési hely
der Besuch;vendég
der Besuch;látogatottság
der Besuch;látogató
der Besuch;látogatás
der Betrag;összeg
der Betrag;küldemény
der Betrieb;üzem
der Betrieb;működés
der Betriebsleiter;vállalatvezető
der Betriebsleiter;üzemvezető
der Betriebsrat;üzemi bizottsági tag
der Betriebsrat;üzemi bizottság
der Betriebsstoff;üzemanyag
der Betriebsvorgang;gyártási folyamat
der Betrug;csalás
der Betrüger;csaló
der Bettler;koldus
der Bettüberzug;ágyhuzat
der Beutel;zacskó
der Beutel;erszény
der Beweggrund;indok
der Beweggrund;indító ok
der Beweis;bizonyíték
der Beweis;bizonyítás
der Beweisgrund;érv
der Beweisgrund;bizonyíték
der Bewohner;lakos
der Bewohner;lakó
der Bewohnerschaft;lakosság
der Bewurf;vakolás
der Bezirk;megye
der Bezirk;körzet
der Bezirk;kerület
der Bezug;vonatkoztatás
der Bezug;vonatkozás
der Bezug;járandóság
der Bezug;huzat
der Bezug;bevonat
der Bezug;beszerzés
der BH;ld. Büstenhalter
der Bibliothekar;könyvtáros
der Bienenstock;méhkaptár
der Bildbereicht;képriport
der Bildhauer;szobrász
der Bildschirm;képernyő
der Billardstock;dákó
der Bindestrich;kötőjel
der Bindfaden;zsineg
der Bindfaden;spárga
der Binnenhandel;belkereskedelem
der Binnensee;tó
der Binnenverkehr;szárazföldi forgalom
der Binnenverkehr;belföldi forgalom
der Bischof;püspök
der Bissen;harapás
der Bissen;falat
der Biß;harapás
der Blasebalg;fujtató
der Blattverlust;levélhullás
der Blätterteig;leveles tészta
der Bleistift;ceruza
der Blick;tekintet
der Blick;pillantás
der Blinddarm;vakbél
der Blinker;villogó
der Blinker;villanólámpa
der Blinker;irányjelző
der Blinker;index
der Blitz;villám
der Blitzableiter;villámhárító
der Blitzschlag;villámcsapás
der Block;tuskó
der Block;tönk
der Block;tömb
der Block;rönk
der Block;háztömb
der Block;blokk
der Blödsinn;hülyeség
der Blumenkohl;kelvirág
der Blumenkohl;karfiol
der Blumenständer;virágtartó
der Blumentopf;virágcserép
der Blutdruck;vérnyomás
der Blutegel;pióca
der Blutfleck;vérfolt
der Bluthund;véreb
der Blutkreislauf;vérkeringés
der Blutspender;véradó
der Blutsturz;vérömlés
der Bluttropfen;vércsepp
der Bock;bak
der Bocksprung;bakugrás
der Boden;talaj
der Boden;padlózat
der Boden;padló
der Boden;padlás
der Boden;föld
der Boden;fenék
der Bodenbesitz;földbirtok
der Bodenertrag;földhozam
der Bodenfrost;talajmeni fagy
der Bodensatz;üledék
der Bodenschatz;természeti kincs
der Bogen;vonó
der Bogen;kanyarulat
der Bogen;kanyar
der Bogen;ív
der Bogen;íj
der Bohnenkaffee;szemeskávé
der Bohnenkaffee;babkávé
der Boiler;bojler
der Bombenangriff;bombatámadás
der Bombenerfolg;bombasiker
der Bomber;bombázó
der Bon;utalvány
der Bon;blokk
der Bord;perem
der Bord;hajóoldal
der Bord;hajó (pl. épületen)
der Bord;fedélzet
der Borg;kölcsönvétel
der Borg;kölcsönadás
der Borg;kölcsön
der Borg;hitelezés
der Botaniker;botanikus
der Bote;küldönc
der Bote;követ
der Botschafter;nagykövet
der Bottich;kád
der Bottich;dézsa
der Boxer;ökölvívó
der Boxer;bokszoló
der Boxkampf;ökölvívó mérkőzés
der Boxkampf;bokszmérkőzés
der Bösewicht;gonosztevő
der Bösewicht;gazfickó
der Bösewicht;gazember
der Böttcher;kádár
der Brand;üszög
der Brand;tűzvész
der Brand;kiégetés
der Brand;égetés
der Brand;beégetett jel
der Brandherd;tűzfészek
der Brandmauer;tűzfal
der Brandschaden;tűzkár
der Brantwein;pálinka
der Brasilianer;brazíliai
der Braten;sült
der Braten;pecsenye
der Brauch;szokás
der Brauer;sörfőző
der Braus;zsivaj
der Braus;zúgás
der Brautring;jegygyűrű
der Brautstand;jegyesség
der Bräutigam;vőlegény
der Brechreiz;hányinger
der Brei;pép
der Brei;kása
der Breitenrad;szélességi fok
der Brenner;égő
der Brennpunkt;gyújtópont
der Brennstoff;tüzelőanyag
der Brief;levél
der Briefbogen;levélpapír
der Briefkasten;postaláda
der Briefkasten;levélszekrény
der Briefmarkensammler;bélyeggyűjtő
der Briefträger;levélhordó
der Briefumschlag;levélboríték
der Briefwechsel;levélváltás
der Briefwechsel;levelezés
der Brocken;morzsa
der Brocken;falat
der Broterwerb;kenyérkereset
der Brotlaib;kenyér (egész)
der Brotlaib;cipó
der Brösel;zsemlemorzsa
der Bruch;tört (szám)
der Bruch;törés
der Bruch;sérv
der Bruch;kőbánya
der Bruder;fivér
der Bruder;fiútestvér
der Bruder;barát
der Brunnen;kút
der Brustkorb;mellkas
der Brückenkopf;hídfő
der Brütapparat;keltetőgép
der Bub;fiú
der Bube;gazfickó
der Bube;fiú
der Bubenstreich;gaztett
der Buchbinder;könyvkötő
der Buchdrucker;nyomdász
der Buchhalter;könyvelő
der Buchhandel;könyvkereskedelem
der Buchstabe;betű
der Buckel;púp
der Buckel;hát
der Bug;szügy
der Bug;nadrág éle
der Bug;hajóorr
der Bug;hajlás
der Bug;görbület
der Bulgare;bolgár
der Bulle;tenyészbika
der Bund;szövetség
der Bund;nyaláb
der Bund;kötés
der Bund;kötelék
der Bund;frigy
der Bund;csomó
der Bundesstaat;szövetségi állam
der Bundschuh;bocskor
der Bunesgenosse;szövetséges (társ)
der Buntstift;színes ceruza
der Bursche;legény
der Bursche;fickó
der Bursche;fiatalember
der Bus;busz
der Bus;autóbusz
der Busch;bozót
der Busch;bokor
der Busen;öböl
der Busen;mell (női)
der Busen;kebel
der Busenfreund;kebelbarát
der Bücherwurm;könyvmoly
der Bücherwurm;könyvkukac
der Büchsenöffner;konzervnyitó
der Büffel;bölény
der Büffel;bivaly
der Bügel;vállfa
der Bügel;ruhaakasztó
der Bügel;kengyel
der Bügel;áramszedő
der Bürge;kezes
der Bürge;jótálló
der Bürger;polgár
der Bürgermeister;polgármester
der Bürgersteig;járda
der Büstenhalter;melltartó
der Campingkocher;campingfőző
der Campingplatz;camping
der Cellist;csellista
der Celsius;Celsius-fok
der Champagner;pezsgő
der Champignon;csiperkegomba
der Champion;bajnok
der Charakter;jellem
der Charakter;jelleg
der Chauffeur;sofőr
der Chauvinismus;sovinizmus
der Chef;főnök
der Chefarzt;főorvos
der Chefredakteur;főszerkesztő
der Chemiker;kémikus
der Chilene;chilei
der Chinese;kínai
der Chirurg;sebész
der Chor;kórus
der Chor;kar
der Chorist;karénekes
der Christ;keresztény
der Christbaum;karácsonyfa
der Cicerone;idegenvezető
der Clown;bohóc
der Computer;számítógép
der Copilot;másodpilóta
der Couchtisch;dohányzóasztal
der Coupon;szelvény
der Coupon;kupon
der Cousin;unokafivér
der D-Wagen;(Durchgangswagen)  átjárókocsi (vasút)
der D-Zug;(Durchgangszug)  gyorsvonat
der Dachboden;tetőtér
der Dachboden;padlás
der Dachdecker;tetőfedő
der Dachs;borz
der Dackel;tacskó
der Damm;töltés
der Damm;gát
der Dampf;pára
der Dampf;illat
der Dampf;gőz
der Dampfer;gőzös
der Dampfer;gőzhajó
der Dank;köszönet
der Dank;hála
der Darm;bél
der Darsteller;szereplő
der Dauerlauf;távfutás
der Daumen;hüvelykujj
der Däne;dán
der Deckmantel;palást
der Deckmantel;lepel
der Deckname;fedőnév
der Deckname;álnév
der Degen;kard
der Deich;gát
der Dekan;dékán
der Delegierte;küldött
der Delegierte;delegátus
der Demokrat;demokrata
der Denker;gondolkodó
der Denkzettel;intő (iskolai)
der Denkzettel;emlékeztető
der Despot;zsarnok
der deutschen Sprache kundig sein;bírja a német nyelvet
der deutschen Sprache mächtig sein;tud németül
der Dezember;december
der Dialekt;dialektus
der Dialog;párbeszéd
der Dialog;dialógus
der Diamant;gyémánt
der Dichter;költő
der Dickdarm;vastagbél
der Dieb;tolvaj
der Diebstahl;lopás
der Diener;szolga
der Dienst;szolgálat
der Dienstag;kedd
der Diensteifer;ügybuzgalom
der Dienstgrad;rendfokozat
der diensthabende Arzt;ügyeletes orvos
der Dienstleiter;szolgálatvezető
der Dietrich;tolvajkulcs
der Dill;kapor
der Diplomat;diplomata
der Diplomingenieur;okleveles mérnök
der Direktor;igazgató
der Dirigent;karmester
der Diskus;diszkosz
der Distrikt;körzet
der Distrikt;kerület
der Dividend;osztandó
der Docht;kanóc
der Doktor;doktor
der Dokumentarfilm;dokumentumfilm
der Dolch;tőr
der Dolmetscher;tolmács
der Dom;dóm
der Dominikaner;domonkos (szerzetes)
der Donner;mennydörgés
der Donnerstag;csütörtök
der Doppeladler;kétfejű sas
der Doppelgänger;hasonmás
der Doppelkassettenrakorder;kétkazettás magnó
der Doppelname;kettős név
der Doppelpunkt;kettőspont
der Doppelzentner;mázsa
der Dorn;tüske
der Dorn;tövis
der Dornbusch;csipkebokor
der Dornschuh;ugrócipő
der Dornschuh;futócipő
der Dosenöffner;konzervnyitó
der Dozent;docens
der Drache;sárkány
der Drachen;sárkány
der Draht;huzal
der Draht;drót
der Dramatiker;drámaíró
der Drang;vágy
der Drang;unszolás
der Drang;tömeg
der Drang;tolongás
der Drang;ösztön
der Drang;igyekezet
der Draufgänger;rámenős ember
der Drechsler;esztergályos
der Dreck;szemét
der Dreck;szar
der Dreck;sár
der Dreck;piszok
der Dreck;kosz
der Dreck;ganéj
der Dreh;trükk
der Dreh;fogás
der Dreher;esztergályos
der Drehstrom;váltakozó áram
der Dreier;hármas
der Dreß;mez (sp)
der Dreß;dressz
der Druck;szorongás
der Druck;szorítás
der Druck;nyomtatás
der Druck;nyomat
der Druck;nyomás
der Druck;elnyomás
der Drucker;nyomdász
der Druckfehler;sajtóhiba
der Druckknopf;patent
der Drusch;cséplés
der Drückeberger;lógós
der Duft;illat
der Dummkopf;tökfilkó
der Dunst;párolás
der Dunst;pára
der Dunst;kigőzölgés
der Dunst;dunszt
der Durchblick;kilátás
der Durchbruch;érvényesülés
der Durchbruch;áttörés
der Durchfall;kudarc
der Durchfall;hasmenés
der Durchfall;bukás
der Durchfluß;átfolyás
der Durchgang;átmenés
der Durchgang;átkelés
der Durchgang;átjáró
der Durchgang;átjárás
der Durchgangszug;gyorsvonat
der Durchlaß;átjáró
der Durchmesser;átmérő
der Durchschlag;másolat
der Durchschlag;átütés
der Durchschnitt;keresztmetszet
der Durchschnitt;átvágás
der Durchschnitt;átlag
der Durchschnittslohn;átlagbér
der Durchschnittsmensch;átlagember
der Durchstich;szúrás
der Durchstich;átvágás
der Durchstrich;törlés
der Durchstrich;áthúzás
der Durchweg;átjáróút
der Durchzug;keresztülhúzás
der Durchzug;kereszthuzat
der Durchzug;átvonulás
der Durst;szomjúság
der Dusel;mámor
der Dusel;bódultság
der Dünger;trágya
der Dünndarm;vékonybél
der E-Zug;sebesvonat
der Eber;vadkan
der Eber;kan
der Eckzahn;szemfog
der Edelmut;nemeslelkűség
der Edelmut;nagylelkűség
der Edelstein;drágakő
der Efeu;borostyán
der Effekt;hatás
der Effekt;effektus
der Ehebruch;házasságtörés
der Ehegatte;férj
der Ehering;jegygyűrű
der Eheschein;házasságlevél
der Ehrenlohn;tiszteletdíj
der Ehrenplatz;díszhely
der Ehrgeiz;becsvágy
der Eid;eskü
der Eierkuchen;palacsinta
der Eierkuchen;omlett
der Eifer;buzgóság
der Eifer;buzgalom
der Eigenname;tulajdonnév
der Eigennutz;önzés
der Eigennutz;haszonlesés
der Eigensinn;önfejűség
der Eigensinn;makacsság
der Eigentümer;tulajdonos
